[2019-01-05 00:01:32][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 58 times]
[2019-01-05 00:01:32][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 59 times]
[2019-01-05 00:01:32][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 60 times]
[2019-01-05 00:01:32][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 61 times]
[2019-01-05 00:01:32][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 62 times]
[2019-01-05 00:01:32][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 63 times]
[2019-01-05 00:01:33][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 64 times]
[2019-01-05 00:01:33][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 65 times]
[2019-01-05 00:01:33][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 66 times]
[2019-01-05 00:01:33][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 67 times]
[2019-01-05 00:01:33][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 68 times]
[2019-01-05 00:01:33][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 69 times]
[2019-01-05 00:01:33][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 70 times]
[2019-01-05 00:01:34][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 71 times]
[2019-01-05 00:01:34][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 72 times]
[2019-01-05 00:01:34][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 73 times]
[2019-01-05 00:01:34][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 74 times]
[2019-01-05 00:01:34][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 75 times]
[2019-01-05 00:01:34][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 76 times]
[2019-01-05 00:01:35][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 77 times]
[2019-01-05 00:01:35][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 78 times]
[2019-01-05 00:01:35][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 79 times]
[2019-01-05 00:01:35][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 80 times]
[2019-01-05 00:01:35][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 81 times]
[2019-01-05 00:01:35][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 82 times]
[2019-01-05 00:01:36][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 83 times]
[2019-01-05 00:01:36][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 84 times]
[2019-01-05 00:01:36][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 85 times]
[2019-01-05 00:01:36][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 86 times]
[2019-01-05 00:01:36][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 87 times]
[2019-01-05 00:01:36][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 88 times]
[2019-01-05 00:01:37][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 89 times]
[2019-01-05 00:01:37][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 90 times]
[2019-01-05 00:01:37][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 91 times]
